skuId,coverType,seriesNumber,patternName,colorCode,colorName,productLineCode,productLineDescription,introDate,cleaningCode,description,capCode,faceContents,backContents,wearabilityCode,wearabilityDescription,specialtyFabricCode,specialtyFabricDescription,weltPattern,slipCoverProgram,horizRepeat,vertRepeat,leatherDotCode,leatherDotDescription,specialtyLeatherCode,specialtyLeatherDescription,marriedStyles,notes,postageStampSize,dropStatus,issues,sourceSheet,sourceRow
B153808,fabric,B1538,Seamount,08,Burgundy,CH,,2017-10-01,S,,UR,100% Polyester,,N,Normal,,,,,0,0,,,,,,,,,,MASTER FABRICS,13
B153853,fabric,B1538,Seamount,53,Silver,CH,,2017-10-01,S,,UR,100% Polyester,,N,Normal,,,,,0,0,,,,,,,,,,MASTER FABRICS,13
B153874,fabric,B1538,Seamount,74,Sable,CH,,2017-10-01,S,,UR,100% Polyester,,N,Normal,,,,,0,0,,,,,,,,,,MASTER FABRICS,13
B153876,fabric,B1538,Seamount,76,Cappuccino,CH,,2017-10-01,S,,UR,100% Polyester,,N,Normal,,,,,0,0,,,,,,,,,,MASTER FABRICS,13
B153885,fabric,B1538,Seamount,85,Indigo,CH,,2017-10-01,S,,UR,100% Polyester,,N,Normal,,,,,0,0,,,,,,,,,,MASTER FABRICS,13
B166257,fabric,B1662,Rodigo,57,Stone,MU,,2019-04-01,WS,,UR,100% Polyester,,P,Performance,,,,,0,0,,,,,,,,,,MASTER FABRICS,14
B166276,fabric,B1662,Rodigo,76,Marsh,MU,,2019-04-01,WS,,UR,100% Polyester,,P,Performance,,,,,0,0,,,,,,,,,,MASTER FABRICS,14
B166278,fabric,B1662,Rodigo,78,Walnut,MU,,2019-04-01,WS,,UR,100% Polyester,,P,Performance,,,,,0,0,,,,,,,,,,MASTER FABRICS,14
B166286,fabric,B1662,Rodigo,86,Navy,MU,,2019-04-01,WS,,UR,100% Polyester,,P,Performance,,,,,0,0,,,,,,,,,,MASTER FABRICS,14
B180852,fabric,B1808,Social Club,52,Stone,MU,,2021-04-01,S,A super soft low pile pieced dyed chenille that has a subtle spaced dyed warp which gives a cross hatch like contrast with a speckled black dot design. The product is backed with a standard acrylic latex backing.,DR,100% Polyester,,P,Performance,,,,,0,0,,,,,,,,,,MASTER FABRICS,15
B180857,fabric,B1808,Social Club,57,Charcoal,MU,,2021-04-01,S,A super soft low pile pieced dyed chenille that has a subtle spaced dyed warp which gives a cross hatch like contrast with a speckled black dot design. The product is backed with a standard acrylic latex backing.,DR,100% Polyester,,P,Performance,,,,,0,0,,,,,,,,,,MASTER FABRICS,15
B180868,fabric,B1808,Social Club,68,Pewter,MU,,2021-04-01,S,A super soft low pile pieced dyed chenille that has a subtle spaced dyed warp which gives a cross hatch like contrast with a speckled black dot design. The product is backed with a standard acrylic latex backing.,DR,100% Polyester,,P,Performance,,,,,0,0,,,,,,,,,,MASTER FABRICS,15
B180872,fabric,B1808,Social Club,72,Chalk,MU,,2021-04-01,S,A super soft low pile pieced dyed chenille that has a subtle spaced dyed warp which gives a cross hatch like contrast with a speckled black dot design. The product is backed with a standard acrylic latex backing.,DR,100% Polyester,,P,Performance,,,,,0,0,,,,,,,,,,MASTER FABRICS,15
B180876,fabric,B1808,Social Club,76,Cocoa,MU,,2021-04-01,S,A super soft low pile pieced dyed chenille that has a subtle spaced dyed warp which gives a cross hatch like contrast with a speckled black dot design. The product is backed with a standard acrylic latex backing.,DR,100% Polyester,,P,Performance,,,,,0,0,,,,,,,,,,MASTER FABRICS,15
B182725,fabric,B1827,Brink,25,Lentil,MU,,2021-04-01,S,"Brink is a multi-color plain with nubby space-dyed yarns, giving Brink both surface and visual texture. Each of the colorways offers enough shade variation to be used as blue, beige, gray, and green. Using 100% polyester yarns, Brink passes heavy duty wearability so it can be used as a new look textural motion cover, as well as a flat weave stationary fabric.",DR,100% Polyester,,N,Normal,,,,,0,0,,,,,,,,dropped,,MASTER FABRICS,16
B182786,fabric,B1827,Brink,86,Slate,MU,,2021-04-01,S,"Brink is a multi-color plain with nubby space-dyed yarns, giving Brink both surface and visual texture. Each of the colorways offers enough shade variation to be used as blue, beige, gray, and green. Using 100% polyester yarns, Brink passes heavy duty wearability so it can be used as a new look textural motion cover, as well as a flat weave stationary fabric.",DR,100% Polyester,,N,Normal,,,,,0,0,,,,,,,,,,MASTER FABRICS,16
C137108,fabric,C1371,Seasons,08,Redwood,MU,,2015-10-01,S,,DR,100% Polyester,,N,Normal,,,,,0,0,,,,,,,,,,MASTER FABRICS,17
C137128,fabric,C1371,Seasons,28,Loden,MU,,2015-10-01,S,,DR,100% Polyester,,N,Normal,,,,,0,0,,,,,,,,,,MASTER FABRICS,17
C137162,fabric,C1371,Seasons,62,Khaki,MU,,2015-10-01,S,,DR,100% Polyester,,N,Normal,,,,,0,0,,,,,,,,,,MASTER FABRICS,17
C137166,fabric,C1371,Seasons,66,Mocha,MU,,2015-10-01,S,,DR,100% Polyester,,N,Normal,,,,,0,0,,,,,,,,,,MASTER FABRICS,17
C137178,fabric,C1371,Seasons,78,Chocolate,MU,,2015-10-01,S,,DR,100% Polyester,,N,Normal,,,,,0,0,,,,,,,,,,MASTER FABRICS,17
C137187,fabric,C1371,Seasons,87,Charcoal,MU,,2015-10-01,S,,DR,100% Polyester,,N,Normal,,,,,0,0,,,,,,,,,,MASTER FABRICS,17
C151631,fabric,C1516,Merit,31,Dove,MU,,2017-04-01,WS,,DR,100% Polyester,,N,Normal,,,,,0,0,,,,,,,,,,MASTER FABRICS,18
C151651,fabric,C1516,Merit,51,Platinum,MU,,2017-04-01,WS,,DR,100% Polyester,,N,Normal,,,,,0,0,,,,,,,,,,MASTER FABRICS,18
C151657,fabric,C1516,Merit,57,Charcoal,MU,,2017-04-01,WS,,DR,100% Polyester,,N,Normal,,,,,0,0,,,,,,,,,,MASTER FABRICS,18
C152534,fabric,C1525,Roma,34,Cream,CH,,2017-04-01,S,,DR,100% Polyester,,N,Normal,,,,,0,0,,,,,,,,,,MASTER FABRICS,19
C152553,fabric,C1525,Roma,53,Storm,CH,,2017-04-01,S,,DR,100% Polyester,,N,Normal,,,,,0,0,,,,,,,,,,MASTER FABRICS,19
C152574,fabric,C1525,Roma,74,Mocha,CH,,2017-04-01,S,,DR,100% Polyester,,N,Normal,,,,,0,0,,,,,,,,,,MASTER FABRICS,19
C152578,fabric,C1525,Roma,78,Espresso,CH,,2017-04-01,S,,DR,100% Polyester,,N,Normal,,,,,0,0,,,,,,,,,,MASTER FABRICS,19
C152586,fabric,C1525,Roma,86,Navy,CH,,2017-04-01,S,,DR,100% Polyester,,N,Normal,,,,,0,0,,,,,,,,,,MASTER FABRICS,19
C158431,fabric,C1584,Saxon,31,Oyster,MU,,2018-04-01,WS,,DR,100% Polyester,,N,Normal,,,,,14.4,13.4,,,,,,,,,,MASTER FABRICS,20
C158448,fabric,C1584,Saxon,48,Chestnut,MU,,2018-04-01,WS,,DR,100% Polyester,,N,Normal,,,,,14.4,13.4,,,,,,,,,,MASTER FABRICS,20
C158450,fabric,C1584,Saxon,50,Onyx,MU,,2018-04-01,WS,,DR,100% Polyester,,N,Normal,,,,,14.4,13.4,,,,,,,,,,MASTER FABRICS,20
C158487,fabric,C1584,Saxon,87,Indigo,MU,,2018-04-01,WS,,DR,100% Polyester,,N,Normal,,,,,14.4,13.4,,,,,,,,,,MASTER FABRICS,20
C158497,fabric,C1584,Saxon,97,Marine,MU,,2018-04-01,WS,,DR,100% Polyester,,N,Normal,,,,,14.4,13.4,,,,,,,,,,MASTER FABRICS,20
C162508,fabric,C1625,Vance,08,Garnet,CH,,2018-10-01,WS,,UR,100% Polyester,,N,Normal,,,,,23.6,24.4,,,,,,,,,,MASTER FABRICS,21
C162527,fabric,C1625,Vance,27,Sage,CH,,2018-10-01,WS,,UR,100% Polyester,,N,Normal,,,,,23.6,24.4,,,,,,,,,,MASTER FABRICS,21
C162532,fabric,C1625,Vance,32,Sand,CH,,2018-10-01,WS,,UR,100% Polyester,,N,Normal,,,,,23.6,24.4,,,,,,,,,,MASTER FABRICS,21
C162552,fabric,C1625,Vance,52,Ice,CH,,2018-10-01,WS,,UR,100% Polyester,,N,Normal,,,,,23.6,24.4,,,,,,,,,,MASTER FABRICS,21
C162576,fabric,C1625,Vance,76,Mocha,CH,,2018-10-01,WS,,UR,100% Polyester,,N,Normal,,,,,23.6,24.4,,,,,,,,,,MASTER FABRICS,21
C162586,fabric,C1625,Vance,86,Eclipse,CH,,2018-10-01,WS,,UR,100% Polyester,,N,Normal,,,,,23.6,24.4,,,,,,,,,,MASTER FABRICS,21
C165962,fabric,C1659,McKittrick,62,Smoke,MU,,2019-04-01,W,,DR,100% Polyester,,N,Normal,,,,,0.3,0.2,,,,,,,,,,MASTER FABRICS,22
C165967,fabric,C1659,McKittrick,67,Charcoal,MU,,2019-04-01,W,,DR,100% Polyester,,N,Normal,,,,,0.3,0.2,,,,,,,,,,MASTER FABRICS,22
C165972,fabric,C1659,McKittrick,72,Taupe,MU,,2019-04-01,W,,DR,100% Polyester,,N,Normal,,,,,0.3,0.2,,,,,,,,,,MASTER FABRICS,22
C165986,fabric,C1659,McKittrick,86,Indigo,MU,,2019-04-01,W,,DR,100% Polyester,,N,Normal,,,,,0.3,0.2,,,,,,,,,,MASTER FABRICS,22
C165992,fabric,C1659,McKittrick,92,Mist,MU,,2019-04-01,W,,DR,100% Polyester,,N,Normal,,,,,0.3,0.2,,,,,,,,,,MASTER FABRICS,22
C167076,fabric,C1670,Northern Exposure,76,Daybreak,MU,,2019-04-01,W,,DR,100% Polyester,,N,Normal,,,,,14.37,26.93,,,,,,,,,,MASTER FABRICS,23
C170033,fabric,C1700,Nico,33,Oyster,MU,,2019-10-01,S,,DR,"95.5% Polyester, 4.5% Cotton",,N,Normal,,,X,,0,0,,,,,,,,,,MASTER FABRICS,24
C170053,fabric,C1700,Nico,53,Ash,MU,,2019-10-01,S,,DR,"95.5% Polyester, 4.5% Cotton",,N,Normal,,,X,,0,0,,,,,,,,,,MASTER FABRICS,24
C170057,fabric,C1700,Nico,57,Charcoal,MU,,2019-10-01,S,,DR,"95.5% Polyester, 4.5% Cotton",,N,Normal,,,X,,0,0,,,,,,,,,,MASTER FABRICS,24
C175432,fabric,C1754,Kemet,32,Sand,MU,,2020-04-01,S,"This is a printed warp knit with an extremely soft hand. The print gives a subtle textured look to create more character on the face. All colors are very applicable for motion and recliners, as well casual stationary frames.",UR,100% Polyester,,P,Performance,,,,,0,0,,,,,,,,,,MASTER FABRICS,25
C175474,fabric,C1754,Kemet,74,Brownstone,MU,,2020-04-01,S,"This is a printed warp knit with an extremely soft hand. The print gives a subtle textured look to create more character on the face. All colors are very applicable for motion and recliners, as well casual stationary frames.",UR,100% Polyester,,P,Performance,,,,,0,0,,,,,,,,,,MASTER FABRICS,25
C175486,fabric,C1754,Kemet,86,Slate,MU,,2020-04-01,S,"This is a printed warp knit with an extremely soft hand. The print gives a subtle textured look to create more character on the face. All colors are very applicable for motion and recliners, as well casual stationary frames.",UR,100% Polyester,,P,Performance,,,,,0,0,,,,,,,,,,MASTER FABRICS,25
C175731,fabric,C1757,Bartaloni,31,Oatmeal,MU,,2020-04-01,S,"Bartaloni is a plush chenille with a fine herringbone pattern colored to live casually in todays’ interiors. Soft to the touch, beautiful and durable for our daily lives, Bartaloni is a great choice for any interior.",DR,100% Polyester,,N,Normal,,,,,.625,1.875,,,,,,,,,,MASTER FABRICS,26
